taxon_group,verbatim_name,name,"name to use (if different from ""name"")",name comment field,Comment,notes,Any taxon above genus,genus modifier,genus name,subgenera modifier,subgenera name,species modifier,species name,subspecies modifier,subspecies name,non-taxa descriptor,comments,pbdb_taxon_id,pbdb_taxon_name,pbdb_taxon_rank,Corrections to pbdb_taxon_rank,family_taxon_id,family_taxon_name,order_taxon_id,order_taxon_name,class_taxon_id,class_taxon_name,phylum_taxon_id,phylum_taxon_name,kingdom_taxon_id,kingdom_taxon_name
benthic_forams,Pleurostomella brevis,Pleurostomella brevis,,,,"in PBDB, but classification differs to WoRMS",,,Pleurostomella,,,,brevis,,,,,2162,Pleurostomella,genus,,155922,Pleurostomellidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Pleurostomella cf. alternans,Pleurostomella cf. alternans,,,,"in PBDB, but classification differs to WoRMS",,,Pleurostomella ,,,cf.,alternans,,,,,2162,Pleurostomella,genus,,155922,Pleurostomellidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Pleurostomella cylindrica,Pleurostomella cylindrica,,,,"in PBDB, but classification differs to WoRMS",,,Pleurostomella,,,,cylindrica,,,,,2162,Pleurostomella,genus,,155922,Pleurostomellidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Pleurostomella paleocenica,Pleurostomella paleocenica,,,,"in PBDB, but classification differs to WoRMS",,,Pleurostomella,,,,paleocenica,,,,,2162,Pleurostomella,genus,,155922,Pleurostomellidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Pleurostomella recens,Pleurostomella recens,,,,"in PBDB, but classification differs to WoRMS",,,Pleurostomella,,,,recens,,,,,2162,Pleurostomella,genus,,155922,Pleurostomellidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Pleurostomella sp.,Pleurostomella sp.,,,,"in PBDB, but classification differs to WoRMS",,,Pleurostomella,,,,sp.,,,,,2162,Pleurostomella,genus,,155922,Pleurostomellidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Pleurostomella sp. A,Pleurostomella sp. A,,,,"in PBDB, but classification differs to WoRMS",,,Pleurostomella,,,,sp. A,,,,,2162,Pleurostomella,genus,,155922,Pleurostomellidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Pleurostomella spp.,Pleurostomella spp.,,,,"in PBDB, but classification differs to WoRMS",,,Pleurostomella,,,,spp.,,,,,2162,Pleurostomella,genus,,155922,Pleurostomellidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Pleurostomella subnodosa,Pleurostomella subnodosa,,,,"in PBDB, but classification differs to WoRMS",,,Pleurostomella,,,,subnodosa,,,,,2162,Pleurostomella,genus,,155922,Pleurostomellidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Pleurostomella tenuis,Pleurostomella tenuis,,,,"in PBDB, but classification differs to WoRMS",,,Pleurostomella,,,,tenuis,,,,,2162,Pleurostomella,genus,,155922,Pleurostomellidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Polymorphina sp.,Polymorphina sp.,,,,"in PBDB, so will be classified correctly",,,Polymorphina,,,,sp.,,,,,2172,Polymorphina,genus,,103764,Polymorphinidae,429590,Polymorphinida,428875,Nodosariata,288974,Foraminifera,212476,Rhizaria
benthic_forams,Polymorphina spp.,Polymorphina spp.,,,,"in PBDB, so will be classified correctly",,,Polymorphina,,,,spp.,,,,,2172,Polymorphina,genus,,103764,Polymorphinidae,429590,Polymorphinida,428875,Nodosariata,288974,Foraminifera,212476,Rhizaria
benthic_forams,Polymorphinids,Polymorphinids,Polymorphina spp.,,,"in PBDB, so will be classified correctly",,,Polymorphina,,,,spp.,,,,,2172,Polymorphina,genus,,103764,Polymorphinidae,429590,Polymorphinida,428875,Nodosariata,288974,Foraminifera,212476,Rhizaria
benthic_forams,Poroeponides lateralis,Poroeponides lateralis,,,,"in PBDB, so will be classified correctly",,,Poroeponides,,,,lateralis,,,,,2179,Poroeponides,genus,,241423,Eponididae,,,,,288974,Foraminifera,212476,Rhizaria
